NAME                                                              CPU(cores)   MEMORY(bytes)   
emss-bcp-envcrossi-gtw-group-1-v9-85cb7484ff-b85ss                104m         4795Mi          
emss-bcp-envcrossi-gtw-group-1-v9-85cb7484ff-bm2dz                58m          5820Mi          
emss-bcp-envcrossi-gtw-group-1-v9-85cb7484ff-chcpd                48m          5705Mi          
emss-bcp-envcrossi-gtw-group-1-v9-85cb7484ff-chdfc                21m          5643Mi          
emss-bcp-envcrossi-gtw-group-1-v9-85cb7484ff-crmwv                34m          5988Mi          
emss-bcp-envcrossi-gtw-group-1-v9-85cb7484ff-fd959                83m          6143Mi          
emss-bcp-envcrossi-gtw-group-1-v9-85cb7484ff-ghlqg                41m          6092Mi          
emss-bcp-envcrossi-gtw-group-1-v9-85cb7484ff-gm4lh                28m          5210Mi          
emss-bcp-envcrossi-gtw-group-1-v9-85cb7484ff-h4gv8                78m          6192Mi          
emss-bcp-envcrossi-gtw-group-1-v9-85cb7484ff-jn9zf                28m          6171Mi          
emss-bcp-envcrossi-gtw-group-1-v9-85cb7484ff-k22dr                57m          5939Mi          
emss-bcp-envcrossi-gtw-group-1-v9-85cb7484ff-kf8pb                46m          6330Mi          
emss-bcp-envcrossi-gtw-group-1-v9-85cb7484ff-mjgjh                59m          5611Mi          
emss-bcp-envcrossi-gtw-group-1-v9-85cb7484ff-nbdcd                38m          5709Mi          
emss-bcp-envcrossi-gtw-group-1-v9-85cb7484ff-nf4ks                26m          5775Mi          
emss-bcp-envcrossi-gtw-group-1-v9-85cb7484ff-qxbsg                32m          6157Mi          
emss-bcp-envcrossi-gtw-group-1-v9-85cb7484ff-wfzvs                46m          5082Mi          
emss-bcp-envcrossi-gtw-group-1-v9-85cb7484ff-xl69v                49m          5415Mi          
emss-bcp-envcrossi-gtw-group-1-v9-85cb7484ff-xw4dg                31m          6187Mi          
emss-bcp-envcrossi-gtw-group-1-v9-85cb7484ff-znh7q                31m          4913Mi          
emss-bea-loadpolymerize-front-group-1-v2-f9b5b9947-4wqk2          16m          2309Mi          
emss-bea-loadpolymerize-front-group-1-v2-f9b5b9947-9h684          11m          2304Mi          
emss-bea-wocassign-front-group-1-v16-598c86d4b-dzmzp              62m          3291Mi          
emss-bea-wocassign-front-group-1-v16-598c86d4b-gj2mk              26m          3254Mi          
emss-bea-wocassign-front-group-1-v16-598c86d4b-th75p              51m          3312Mi          
emss-bea-wocassign-front-group-1-v16-598c86d4b-wm7q9              59m          3335Mi          
emss-bea-wocassign-front-group-1-v16-598c86d4b-zmf6x              67m          3298Mi          
emss-bea-wocassign-front-group-1-v16-598c86d4b-zzrmn              57m          3280Mi          
emss-bea-wocauxiliary-front-group-1-v9-6b7d886587-bcnwn           27m          3071Mi          
emss-bea-wocauxiliary-front-group-1-v9-6b7d886587-cgt8g           49m          3067Mi          
emss-bea-wocauxiliary-front-group-1-v9-6b7d886587-h8dgf           54m          3091Mi          
emss-bea-wocauxiliary-front-group-1-v9-6b7d886587-hrn8s           40m          3027Mi          
emss-bea-wocauxiliary-front-group-1-v9-6b7d886587-mtnds           49m          3181Mi          
emss-bea-wocauxiliary-front-group-1-v9-6b7d886587-x4zwx           32m          3106Mi          
emss-bea-wocpolymerize-front-group-1-v10-5db8dd46c8-47lnp         38m          4127Mi          
emss-bea-wocpolymerize-front-group-1-v10-5db8dd46c8-5dw6x         35m          4118Mi          
emss-bea-wocpolymerize-front-group-1-v10-5db8dd46c8-6cp4q         35m          4080Mi          
emss-bea-wocpolymerize-front-group-1-v10-5db8dd46c8-7jndf         29m          4214Mi          
emss-bea-wocpolymerize-front-group-1-v10-5db8dd46c8-7mml4         31m          4230Mi          
emss-bea-wocpolymerize-front-group-1-v10-5db8dd46c8-7rx7c         31m          4222Mi          
emss-bea-wocpolymerize-front-group-1-v10-5db8dd46c8-7t57d         57m          4207Mi          
emss-bea-wocpolymerize-front-group-1-v10-5db8dd46c8-8t68t         30m          4120Mi          
emss-bea-wocpolymerize-front-group-1-v10-5db8dd46c8-8x9jt         36m          4246Mi          
emss-bea-wocpolymerize-front-group-1-v10-5db8dd46c8-fjd7p         27m          4149Mi          
emss-bea-wocpolymerize-front-group-1-v10-5db8dd46c8-j8lqt         37m          4225Mi          
emss-bea-wocpolymerize-front-group-1-v10-5db8dd46c8-l4wpq         29m          4224Mi          
emss-bea-wocpolymerize-front-group-1-v10-5db8dd46c8-lcr28         62m          4238Mi          
emss-bea-wocpolymerize-front-group-1-v10-5db8dd46c8-m8kmq         31m          4240Mi          
emss-bea-wocpolymerize-front-group-1-v10-5db8dd46c8-r5dvj         29m          4222Mi          
emss-bea-wocpolymerize-front-group-1-v10-5db8dd46c8-s4w8g         37m          4142Mi          
emss-cma-dts2kafka-front-group-1-v5-5949479fc7-gv6fg              68m          2963Mi          
emss-cma-dts2kafka-front-group-1-v5-5949479fc7-n7h2j              78m          4530Mi          
emss-cuc-channel-inner-front-group-1-v7-8644c87644-59w5r          11m          2403Mi          
emss-cuc-channel-inner-front-group-1-v7-8644c87644-75fpw          11m          2397Mi          
emss-cuc-channel-inner-front-group-1-v7-8644c87644-frbm7          19m          2407Mi          
emss-cuc-channel-inner-front-group-1-v7-8644c87644-fzb7d          12m          2392Mi          
emss-cuc-channel-inner-front-group-1-v7-8644c87644-gcqzf          13m          2401Mi          
emss-cuc-channel-inner-front-group-1-v7-8644c87644-l5m94          15m          2443Mi          
emss-cuc-channel-inner-front-group-1-v7-8644c87644-plhrr          13m          2402Mi          
emss-cuc-channel-inner-front-group-1-v7-8644c87644-srrtq          13m          2410Mi          
emss-cuc-channel-inner-front-group-1-v7-8644c87644-wpps4          14m          2410Mi          
emss-cuc-channel-inner-front-group-1-v7-8644c87644-zhxtm          15m          2408Mi          
emss-cuc-sources-inner-data-group-1-v6-5c46576679-2p5pc           11m          2432Mi          
emss-cuc-sources-inner-data-group-1-v6-5c46576679-2phc5           19m          2445Mi          
emss-cuc-sources-inner-data-group-1-v6-5c46576679-48b4j           14m          2438Mi          
emss-cuc-sources-inner-data-group-1-v6-5c46576679-5jjzt           11m          2449Mi          
emss-cuc-sources-inner-data-group-1-v6-5c46576679-5nlmp           12m          2426Mi          
emss-cuc-sources-inner-data-group-1-v6-5c46576679-g47zj           10m          2426Mi          
emss-cuc-sources-inner-data-group-1-v6-5c46576679-g57xp           11m          2430Mi          
emss-cuc-sources-inner-data-group-1-v6-5c46576679-t6fzq           14m          2446Mi          
emss-cuc-sources-inner-data-group-1-v6-5c46576679-w9hlr           9m           2478Mi          
emss-cuc-sources-inner-data-group-1-v6-5c46576679-whd42           21m          2459Mi          
emss-cuc-sources-inner-subdomain-group-1-v7-6f5668bcf9-8x4dj      12m          2443Mi          
emss-cuc-sources-inner-subdomain-group-1-v7-6f5668bcf9-bhdh8      12m          2438Mi          
emss-cuc-sources-inner-subdomain-group-1-v7-6f5668bcf9-g4hmq      14m          2441Mi          
emss-cuc-sources-inner-subdomain-group-1-v7-6f5668bcf9-jklt2      19m          2434Mi          
emss-cuc-sources-inner-subdomain-group-1-v7-6f5668bcf9-jxffj      19m          2427Mi          
emss-cuc-sources-inner-subdomain-group-1-v7-6f5668bcf9-m7r86      10m          2431Mi          
emss-cuc-sources-inner-subdomain-group-1-v7-6f5668bcf9-pgdw9      12m          2453Mi          
emss-cuc-sources-inner-subdomain-group-1-v7-6f5668bcf9-qnnnt      11m          2450Mi          
emss-cuc-sources-inner-subdomain-group-1-v7-6f5668bcf9-vc649      9m           2445Mi          
emss-cuc-sources-inner-subdomain-group-1-v7-6f5668bcf9-xr2dt      14m          2431Mi          
emss-itc-oracle-inner-data-group-1-v5-594b7cb9d6-5gbc9            13m          1467Mi          
emss-itc-oracle-inner-data-group-1-v5-594b7cb9d6-8slxr            12m          1476Mi          
emss-itc-oracle-inner-data-group-1-v5-594b7cb9d6-dpfsp            18m          1478Mi          
emss-itc-oracle-inner-data-group-1-v5-594b7cb9d6-frdps            15m          1511Mi          
emss-itc-oracle-inner-data-group-1-v5-594b7cb9d6-fz269            22m          1477Mi          
emss-itc-oracle-inner-data-group-1-v5-594b7cb9d6-pfcw5            10m          1475Mi          
emss-itc-oracle-inner-data-group-1-v5-594b7cb9d6-qqw5g            11m          1460Mi          
emss-itc-oracle-inner-data-group-1-v5-594b7cb9d6-v7nlm            10m          1484Mi          
emss-itc-sats-subdomain-group-1-v6-6d58dff9f5-972gr               14m          1724Mi          
emss-itc-sats-subdomain-group-1-v6-6d58dff9f5-vkl8z               28m          1732Mi          
emss-itc-serviceevalr-inner-subdomai-a1a673-v4-7b88d64d5d-49q7w   10m          1443Mi          
emss-itc-serviceevalr-inner-subdomai-a1a673-v4-7b88d64d5d-6hcn8   10m          1448Mi          
emss-itc-serviceevalr-inner-subdomai-a1a673-v4-7b88d64d5d-8967k   15m          1435Mi          
emss-itc-serviceevalr-inner-subdomai-a1a673-v4-7b88d64d5d-d6nnc   22m          1437Mi          
emss-itc-serviceevalr-inner-subdomai-a1a673-v4-7b88d64d5d-fpvgw   10m          1446Mi          
emss-itc-serviceevalr-inner-subdomai-a1a673-v4-7b88d64d5d-k4wv4   11m          1439Mi          
emss-itc-serviceevalr-inner-subdomai-a1a673-v4-7b88d64d5d-nmrmg   25m          1460Mi          
emss-itc-serviceevalr-inner-subdomai-a1a673-v4-7b88d64d5d-wt4pj   10m          1448Mi          
emss-msc-oracle-inner-data-group-1-v5-74d88bc8d8-crfz8            20m          1270Mi          
emss-msc-oracle-inner-data-group-1-v5-74d88bc8d8-jhl2k            10m          1269Mi          
emss-msc-sendmail-front-group-1-v5-7bc6ff494b-8g9kq               41m          2138Mi          
emss-msc-sendmail-front-group-1-v5-7bc6ff494b-hw6ng               31m          2140Mi          
emss-msc-sendmail-subdomain-group-1-v6-599bb674bc-bfx88           13m          1285Mi          
emss-msc-sendmail-subdomain-group-1-v6-599bb674bc-xlggb           21m          1266Mi          
emss-oma-audit-front-group-1-v3-8c57b58b4-7mr7t                   42m          3358Mi          
emss-oma-audit-front-group-1-v3-8c57b58b4-h8kc5                   27m          3314Mi          
emss-oma-interaction-front-group-1-v5-75c76469c5-2tcld            11m          1498Mi          
emss-oma-interaction-front-group-1-v5-75c76469c5-7vxf4            29m          1476Mi          
emss-oma-interaction-front-group-1-v5-75c76469c5-jwz4h            18m          1484Mi          
emss-oma-interaction-front-group-1-v5-75c76469c5-ntf2q            19m          1493Mi          
emss-oma-interaction-front-group-1-v5-75c76469c5-r65lp            12m          1500Mi          
emss-oma-interaction-front-group-1-v5-75c76469c5-r7kzn            12m          1501Mi          
emss-oma-interaction-front-group-1-v5-75c76469c5-rdwjx            11m          1485Mi          
