NAME                                                              CPU(cores)   MEMORY(bytes)   
emss-bia-bill-inner-front-group-1-v20-75d58b77b9-2q5hj            78m          5711Mi          
emss-bia-bill-inner-front-group-1-v20-75d58b77b9-2trps            55m          5710Mi          
emss-bia-bill-inner-front-group-1-v20-75d58b77b9-6t2tq            97m          5698Mi          
emss-bia-bill-inner-front-group-1-v20-75d58b77b9-7btvg            59m          5710Mi          
emss-bia-bill-inner-front-group-1-v20-75d58b77b9-8j2lr            62m          5717Mi          
emss-bia-bill-inner-front-group-1-v20-75d58b77b9-8kwcv            57m          5722Mi          
emss-bia-bill-inner-front-group-1-v20-75d58b77b9-b5w62            96m          5713Mi          
emss-bia-bill-inner-front-group-1-v20-75d58b77b9-bbbsc            51m          5698Mi          
emss-bia-bill-inner-front-group-1-v20-75d58b77b9-bgztj            44m          5714Mi          
emss-bia-bill-inner-front-group-1-v20-75d58b77b9-cz2r9            89m          5710Mi          
emss-bia-bill-inner-front-group-1-v20-75d58b77b9-fg9zn            59m          5707Mi          
emss-bia-bill-inner-front-group-1-v20-75d58b77b9-gjzr9            45m          5708Mi          
emss-bia-bill-inner-front-group-1-v20-75d58b77b9-hll45            71m          5705Mi          
emss-bia-bill-inner-front-group-1-v20-75d58b77b9-kg6bd            48m          5718Mi          
emss-bia-bill-inner-front-group-1-v20-75d58b77b9-kn5tc            99m          5717Mi          
emss-bia-bill-inner-front-group-1-v20-75d58b77b9-lbq7r            54m          5709Mi          
emss-bia-bill-inner-front-group-1-v20-75d58b77b9-mdqmv            49m          5707Mi          
emss-bia-bill-inner-front-group-1-v20-75d58b77b9-n8xsk            58m          5709Mi          
emss-bia-bill-inner-front-group-1-v20-75d58b77b9-nmzl7            51m          5703Mi          
emss-bia-bill-inner-front-group-1-v20-75d58b77b9-r2v89            113m         5719Mi          
emss-bia-bill-inner-front-group-1-v20-75d58b77b9-tcp7r            52m          5717Mi          
emss-bia-bill-inner-front-group-1-v20-75d58b77b9-tg44r            66m          5705Mi          
emss-bia-bill-inner-front-group-1-v20-75d58b77b9-tx2fz            60m          5707Mi          
emss-bia-bill-inner-front-group-1-v20-75d58b77b9-vmfql            48m          5713Mi          
emss-bia-bill-inner-front-group-1-v20-75d58b77b9-w8tg4            53m          5705Mi          
emss-bia-bill-inner-front-group-1-v20-75d58b77b9-xsnsz            63m          5715Mi          
emss-bia-bill-inner-front-group-1-v20-75d58b77b9-zqt5g            91m          5700Mi          
emss-bia-bill-inner-front-group-1-v20-75d58b77b9-zr94r            51m          5704Mi          
emss-bia-market-inner-front-group-1-v8-6ccc6f9969-5wkr4           22m          1447Mi          
emss-bia-market-inner-front-group-1-v8-6ccc6f9969-64nhj           18m          1433Mi          
