NAME                                                             CPU(cores)   MEMORY(bytes)   
emss-bcp-envcross-gtw-group-1-v9-55b5988656-2ch7w                91m          7258Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-2qrlm                119m         6598Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-2t9vh                84m          6815Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-2xx78                94m          6859Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-45768                105m         6699Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-4rsgc                137m         6787Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-5lbxh                83m          6903Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-627q9                104m         6687Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-6bvzg                121m         6472Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-6gv27                132m         6679Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-6rw4m                88m          7750Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-7z6t9                95m          7355Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-8k52t                94m          6703Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-8z2sb                70m          7041Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-98g87                146m         7213Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-9mw6x                76m          6850Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-9qlp9                90m          7225Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-9tzdt                73m          6491Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-b7hlc                88m          6647Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-b97qp                75m          6858Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-bpwlh                78m          6621Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-bwtrj                75m          6531Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-bxp72                104m         6620Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-c6t2h                107m         7036Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-c8slq                100m         7407Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-cmbrb                151m         6535Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-cnd57                101m         7054Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-cvlxv                80m          6455Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-d2mvt                105m         6675Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-djzv5                81m          7146Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-dzr5b                112m         6969Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-f2sm2                114m         6541Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-fr6dg                93m          6604Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-g49wh                110m         6526Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-gcmrl                88m          6341Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-gd2vl                87m          6946Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-gdtxm                156m         6478Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-gghsq                129m         6822Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-grwrf                138m         7119Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-gx6qt                116m         6568Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-h49sw                160m         6638Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-h4gmh                82m          7001Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-hhpfb                93m          6728Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-hvvwx                93m          6822Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-j5k7x                101m         6531Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-kclrl                70m          7051Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-kgd6c                84m          7034Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-kgs24                163m         7049Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-kk6hg                67m          7188Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-kl2qv                143m         6582Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-l7wnq                98m          7218Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-lb5rt                76m          7375Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-lhzv9                74m          7332Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-m5hrt                130m         6680Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-m7vjs                83m          6739Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-mplzv                76m          6612Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-n8drs                67m          7331Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-pltgv                92m          6812Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-pqcn4                96m          6638Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-q7kf4                121m         6584Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-qzpvp                86m          6839Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-r49bn                95m          6543Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-r56g8                100m         6733Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-rdp89                108m         6581Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-rg659                152m         6997Mi          
emss-bcp-envcross-gtw-group-1-v9-55b5988656-sf7bz                77m          7362Mi          
