NAME                                                          CPU(cores)   MEMORY(bytes)   
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-2nxfl       58m          1731Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-55vzp       46m          1726Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-55xrp       60m          1725Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-6lptt       54m          1734Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-8dg9m       60m          1768Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-8djwb       60m          1720Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-8gv2b       57m          1715Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-8hgzd       70m          1735Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-98lkn       72m          1751Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-9npb6       61m          1766Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-bj57z       53m          1727Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-ctdxj       58m          1721Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-d4fcn       59m          1740Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-dqkn7       58m          1754Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-ftbvk       59m          1731Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-fw9vd       56m          1775Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-gwfmb       73m          1732Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-h65lw       65m          1725Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-hqvg4       63m          1707Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-htgnd       60m          1719Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-hzpkv       64m          1750Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-j5zp5       63m          1734Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-k4k5l       63m          1748Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-k5lzc       60m          1770Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-kv6tg       60m          1743Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-m7rmp       53m          1737Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-n67zg       61m          1721Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-pzs6s       65m          1733Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-rfn28       89m          1760Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-rwkmw       67m          1726Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-s8zjq       54m          1753Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-t2stl       58m          1744Mi          
emss-coc-authinfo-subdomain-group-1-v7-847677cbd8-tdzfv       60m          1729Mi          
