NAME                                                          CPU(cores)   MEMORY(bytes)   
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-29rv6   125m         5522Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-2lmxl   127m         5485Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-2s7xp   140m         5492Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-2t5ss   141m         5526Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-4bf6s   123m         5497Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-59rzg   148m         5499Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-5f4ch   121m         5523Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-5v75p   137m         5500Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-69jxh   151m         5505Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-6p27z   112m         5492Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-7hx47   126m         5484Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-7k5q2   132m         5489Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-888wh   286m         6546Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-8bqlr   126m         5474Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-cjqfz   107m         5485Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-dws42   120m         5443Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-dzt8d   121m         5497Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-f27pf   132m         5495Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-fb5f2   120m         5497Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-fkpkm   141m         5495Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-fmk95   124m         5494Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-g8bkl   116m         5487Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-k7gxl   135m         5495Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-kg68m   140m         5525Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-kqbbg   131m         5505Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-l26c2   135m         5488Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-n5pwj   126m         5495Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-n6npd   123m         5488Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-ndplc   136m         5496Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-nlt98   118m         5503Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-px5dp   148m         5502Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-q6rcz   125m         5524Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-rjm5f   144m         5486Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-rmvwq   123m         5503Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-sf9dk   133m         5496Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-th5q5   139m         5518Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-vgrx2   138m         5488Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-vq6wt   307m         6665Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-vr464   123m         5520Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-w749d   300m         6623Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-w9wvc   133m         5516Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-wcj4p   268m         6377Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-xg9xx   117m         5512Mi          
emss-cma-outsidecustomer-front-group-1-v18-75fc5f979c-xprtc   132m         5514Mi          
emss-cma-personalization-front-group-1-v10-6d649d6974-955s8   24m          1528Mi          
emss-cma-personalization-front-group-1-v10-6d649d6974-lmrqg   23m          1549Mi          
emss-cma-personalization-front-group-1-v10-6d649d6974-lvs8g   26m          1520Mi          
emss-cma-personalization-front-group-1-v10-6d649d6974-zmlxf   25m          1538Mi          
emss-coc-userbind-subdomain-group-1-v16-58754466ff-2xs4h      46m          7522Mi          
emss-coc-userbind-subdomain-group-1-v16-58754466ff-4b8q6      50m          7675Mi          
emss-coc-userbind-subdomain-group-1-v16-58754466ff-57hbq      46m          7610Mi          
emss-coc-userbind-subdomain-group-1-v16-58754466ff-5srtd      53m          7523Mi          
emss-coc-userbind-subdomain-group-1-v16-58754466ff-62wtt      48m          7528Mi          
emss-coc-userbind-subdomain-group-1-v16-58754466ff-6hk5v      49m          7594Mi          
emss-coc-userbind-subdomain-group-1-v16-58754466ff-7hjjk      50m          7560Mi          
emss-coc-userbind-subdomain-group-1-v16-58754466ff-7kcj4      58m          7508Mi          
emss-coc-userbind-subdomain-group-1-v16-58754466ff-7zrgd      50m          7574Mi          
emss-coc-userbind-subdomain-group-1-v16-58754466ff-8mwxm      52m          7522Mi          
emss-coc-userbind-subdomain-group-1-v16-58754466ff-95rcz      48m          7609Mi          
emss-coc-userbind-subdomain-group-1-v16-58754466ff-9sx2g      43m          7581Mi          
emss-coc-userbind-subdomain-group-1-v16-58754466ff-b7tvj      48m          7527Mi          
emss-coc-userbind-subdomain-group-1-v16-58754466ff-f4bsv      52m          7559Mi          
emss-coc-userbind-subdomain-group-1-v16-58754466ff-hcbb2      89m          7587Mi          
emss-coc-userbind-subdomain-group-1-v16-58754466ff-j62s5      60m          7623Mi          
emss-coc-userbind-subdomain-group-1-v16-58754466ff-kmmlm      49m          7551Mi          
emss-coc-userbind-subdomain-group-1-v16-58754466ff-l24g9      45m          7533Mi          
emss-coc-userbind-subdomain-group-1-v16-58754466ff-rtnqr      46m          7605Mi          
emss-coc-userbind-subdomain-group-1-v16-58754466ff-vp6vm      49m          7628Mi          
emss-coc-userbind-subdomain-group-1-v16-58754466ff-xngh2      47m          7594Mi          
emss-coc-userbind-subdomain-group-1-v16-58754466ff-xxfvp      55m          7577Mi          
emss-csa-acctchat-front-group-1-v7-65f49ccbb4-hfl9k           43m          3048Mi          
emss-csa-acctchat-front-group-1-v7-65f49ccbb4-hlgsh           21m          2962Mi          
emss-csa-acctchat-front-group-1-v7-65f49ccbb4-jcrff           21m          2987Mi          
emss-csa-acctchat-front-group-1-v7-65f49ccbb4-xfgrq           17m          3008Mi          
emss-csc-woa-subdomain-group-1-v10-65d64dc59b-5bhz9           16m          2336Mi          
emss-csc-woa-subdomain-group-1-v10-65d64dc59b-hnvt7           12m          2311Mi          
emss-csc-woa-subdomain-group-1-v10-65d64dc59b-qhlbr           13m          2327Mi          
emss-csc-woa-subdomain-group-1-v10-65d64dc59b-zclxh           11m          2375Mi          
emss-cuc-custmanage-subdomain-group-1-v5-55c87fbb87-df7fv     21m          1860Mi          
emss-cuc-custmanage-subdomain-group-1-v5-55c87fbb87-dnbsn     24m          1843Mi          
emss-cuc-custmanage-subdomain-group-1-v5-55c87fbb87-p5qpb     22m          1878Mi          
emss-cuc-custmanage-subdomain-group-1-v5-55c87fbb87-qfhpv     24m          1813Mi          
emss-cuc-custmanage-subdomain-group-1-v5-55c87fbb87-wgc6t     23m          1883Mi          
emss-mac-ecad-subdomain-group-1-v10-7d466d9db4-2rmlz          30m          1313Mi          
emss-mac-ecad-subdomain-group-1-v10-7d466d9db4-6jndj          32m          1310Mi          
emss-mac-ecad-subdomain-group-1-v10-7d466d9db4-9pxhv          42m          1320Mi          
emss-mac-ecad-subdomain-group-1-v10-7d466d9db4-db4zt          28m          1292Mi          
emss-mac-ecad-subdomain-group-1-v10-7d466d9db4-g85q7          29m          1284Mi          
emss-mac-ecad-subdomain-group-1-v10-7d466d9db4-h2pf6          29m          1318Mi          
emss-mac-ecad-subdomain-group-1-v10-7d466d9db4-kv6sf          34m          1281Mi          
emss-mac-ecad-subdomain-group-1-v10-7d466d9db4-m5tg2          29m          1278Mi          
emss-mac-ecad-subdomain-group-1-v10-7d466d9db4-nq7ln          69m          1298Mi          
emss-mac-ecad-subdomain-group-1-v10-7d466d9db4-q454r          34m          1355Mi          
emss-mac-ecad-subdomain-group-1-v10-7d466d9db4-qq89m          31m          1288Mi          
emss-mac-ecad-subdomain-group-1-v10-7d466d9db4-rr2f2          32m          1319Mi          
emss-mac-ecad-subdomain-group-1-v10-7d466d9db4-w4lfx          33m          1295Mi          
emss-mac-ecad-subdomain-group-1-v10-7d466d9db4-x9f6t          30m          1249Mi          
emss-mac-reissue-subdomain-group-1-v6-6dcf5958bd-g5v66        34m          1910Mi          
emss-mac-reissue-subdomain-group-1-v6-6dcf5958bd-lcpvl        30m          2016Mi          
emss-mac-reissue-subdomain-group-1-v6-6dcf5958bd-nb5z7        68m          1958Mi          
emss-mac-reissue-subdomain-group-1-v6-6dcf5958bd-pmq2k        30m          1951Mi          
emss-mac-reissue-subdomain-group-1-v6-6dcf5958bd-qx9s7        32m          2007Mi          
