NAME                                                              CPU(cores)   MEMORY(bytes)   
emss-data-subscription-syn-group-1-v6-7c58c7df5f-6gbbc            92m          2439Mi          
emss-data-subscription-syn-group-1-v6-7c58c7df5f-q9pbf            57m          2416Mi          
emss-data-subscription-syn-group-1-v6-7c58c7df5f-zmhnd            56m          2381Mi          
emss-dts-subscription-data-osgdlsq-group-1-v8-7d57949f5b-t9qqg    3894m        2793Mi          
emss-dts-subscription-data-osgitc-group-1-v8-6bff487599-2mt5z     4011m        2413Mi          
emss-dts-subscription-data-osgmac-group-1-v19-6dcc444479-49hqd    7992m        13109Mi         
emss-dts-subscription-data-osgmac-group-1-v19-6dcc444479-m6995    7745m        13368Mi         
emss-dts-subscription-data-osgmac-group-1-v19-6dcc444479-mf59j    7713m        11328Mi         
emss-dts-subscription-data-osgmsc-group-1-v16-67f4b74c85-bzdrr    7581m        13245Mi         
emss-dts-subscription-data-osgmsc-group-1-v16-67f4b74c85-ndzth    7657m        13338Mi         
emss-dts-subscription-data-osgmsc-group-1-v16-67f4b74c85-q9xj2    7790m        13331Mi         
emss-dts-subscription-data-osgmsc-group-1-v16-67f4b74c85-rngk4    7422m        13311Mi         
emss-dts-subscription-data-osgocsc-group-1-v9-56db5bf649-c25f7    7841m        12130Mi         
emss-dts-subscription-data-osgodc-group-1-v10-556767b976-5v7j5    11288m       13147Mi         
emss-dts-subscription-data-osgodc-group-1-v10-556767b976-ldbnl    11424m       13140Mi         
emss-dts-subscription-data-osgodc-group-1-v10-556767b976-tf2xs    11197m       13172Mi         
emss-dts-subscription-data-osgodc-group-1-v10-556767b976-xpgnp    11541m       13178Mi         
emss-dts-subscription-data-osgopa-group-1-v12-67b7b74646-f8pph    7798m        12037Mi         
emss-dts-subscription-data-osgopa-group-1-v12-67b7b74646-kt64v    7925m        12159Mi         
emss-dts-subscription-data-osgopa-group-1-v12-67b7b74646-ljgs7    7889m        12101Mi         
emss-dts-subscription-data-osgopa-group-1-v12-67b7b74646-ndhvf    7745m        12413Mi         
emss-dts-subscription-data-osgopa-group-1-v12-67b7b74646-rhkg9    7780m        12093Mi         
emss-dts-subscription-data-osgopa-group-1-v12-67b7b74646-zcr6f    7961m        12186Mi         
emss-dts-subscription-data-osgopc-group-1-v8-6f67dbbcbf-qshdb     7984m        4277Mi          
emss-dts-subscription-data-osgpmc-group-1-v11-58567f8bb6-5ljnj    7934m        14928Mi         
emss-dts-subscription-data-osgpmc-group-1-v11-58567f8bb6-8w7vv    7856m        12072Mi         
emss-dts-subscription-data-osgpmc-group-1-v11-58567f8bb6-gccjh    8026m        12772Mi         
emss-dts-subscription-data-osgpmc-group-1-v11-58567f8bb6-hz2k6    7651m        13403Mi         
emss-dts-subscription-data-osgpmc-group-1-v11-58567f8bb6-n9v5x    7877m        11502Mi         
emss-dts-subscription-data-osgpmc-group-1-v11-58567f8bb6-xt2fb    7592m        13093Mi         
emss-dts-subscription-data-osgpmc-group-1-v11-58567f8bb6-zcvdm    7922m        13100Mi         
emss-dts-subscription-data-osgpmc-group-1-v11-58567f8bb6-zhs8f    7885m        11320Mi         
emss-dts-subscription-data-osgsfan-group-1-v8-7786b57694-pkjmd    3980m        2514Mi          
emss-dts-subscription-data-usercente-558859-v12-75574b895c6j6wh   11958m       14514Mi         
emss-dts-subscription-data-usercente-558859-v12-75574b895c6xd27   11622m       14600Mi         
emss-dts-subscription-data-usercente-558859-v12-75574b895cg5vlx   11594m       14338Mi         
emss-dts-subscription-data-usercente-558859-v12-75574b895cl596v   11438m       14300Mi         
emss-dts-subscription-data-usercente-558859-v12-75574b895crsr82   11555m       14364Mi         
emss-dts-subscription-data-usercente-558859-v12-75574b895ct5dmn   11887m       12178Mi         
osg-ev0003-group-1-v4-5945fb697d-5prsj                            89m          2493Mi          
osg-ev0003-group-1-v4-5945fb697d-lmc7l                            162m         2443Mi          
osg-ev0003-group-1-v4-5945fb697d-ndmf9                            54m          2525Mi          
osg-ev0003-group-1-v4-5945fb697d-r4z7w                            55m          2364Mi          
osg-ev0003-group-1-v4-5945fb697d-swbtx                            128m         2427Mi          
osg-ev0003-group-1-v4-5945fb697d-wlzmh                            45m          2274Mi          
osg-ev0004-group-1-v4-564b7f47d9-8jqft                            184m         2431Mi          
osg-ev0004-group-1-v4-564b7f47d9-9kffv                            60m          3267Mi          
osg-ev0004-group-1-v4-564b7f47d9-9tfw4                            64m          3400Mi          
osg-ev0004-group-1-v4-564b7f47d9-gqp5c                            66m          3049Mi          
osg-ev0004-group-1-v4-564b7f47d9-jhwh2                            74m          3314Mi          
osg-ev0004-group-1-v4-564b7f47d9-lxqsx                            91m          3450Mi          
osg-ev0004-group-1-v4-564b7f47d9-p4pw9                            74m          2648Mi          
osg-ev0004-group-1-v4-564b7f47d9-qx58q                            77m          3494Mi          
osg-ev0004-group-1-v4-564b7f47d9-t2xkx                            130m         2718Mi          
osg-ev0004-group-1-v4-564b7f47d9-t52ks                            167m         2532Mi          
osg-ev0012-group-1-v9-6957ffcf69-69bkm                            126m         1880Mi          
osg-ev0012-group-1-v9-6957ffcf69-77wm9                            85m          1874Mi          
osg-ev0012-group-1-v9-6957ffcf69-pg6lz                            94m          1859Mi          
osg-rm0001-group-1-v24-5fcdc58798-2mn5v                           258m         7107Mi          
osg-rm0001-group-1-v24-5fcdc58798-6w2cj                           167m         7151Mi          
osg-rm0001-group-1-v24-5fcdc58798-8grhc                           168m         4883Mi          
osg-rm0001-group-1-v24-5fcdc58798-cw69f                           235m         7032Mi          
osg-rm0001-group-1-v24-5fcdc58798-hjhfz                           120m         5808Mi          
osg-rm0001-group-1-v24-5fcdc58798-hr4mx                           223m         7040Mi          
osg-rm0001-group-1-v24-5fcdc58798-j8wvw                           155m         7207Mi          
osg-rm0001-group-1-v24-5fcdc58798-jphc4                           220m         7113Mi          
osg-rm0001-group-1-v24-5fcdc58798-jtz24                           243m         7150Mi          
osg-rm0001-group-1-v24-5fcdc58798-kvmk2                           281m         6994Mi          
osg-rm0001-group-1-v24-5fcdc58798-m767q                           246m         7143Mi          
osg-rm0001-group-1-v24-5fcdc58798-ndv2f                           232m         7058Mi          
osg-rm0001-group-1-v24-5fcdc58798-pmcnl                           187m         7085Mi          
osg-rm0001-group-1-v24-5fcdc58798-pzdtt                           116m         5802Mi          
osg-rm0001-group-1-v24-5fcdc58798-r9f2k                           249m         7100Mi          
osg-rm0001-group-1-v24-5fcdc58798-v4k4p                           329m         6906Mi          
osg-rm0001-group-1-v24-5fcdc58798-w2dth                           201m         7058Mi          
osg-rm0001-group-1-v24-5fcdc58798-wxtlr                           186m         4283Mi          
osg-rm0001-group-1-v24-5fcdc58798-xsbwn                           307m         6972Mi          
osg-rm0001-group-1-v24-5fcdc58798-zjm2d                           348m         6946Mi          
osg-rm0001-group-1-v24-5fcdc58798-znhhp                           275m         6904Mi          
osg-rm0006-group-1-v9-79b87d997d-mpcds                            473m         6153Mi          
osg-rm0006-group-1-v9-79b87d997d-sjksd                            190m         6302Mi          
osg-rm0006-group-1-v9-79b87d997d-vgsxh                            117m         6034Mi          
osg-rm0009-group-1-v15-6ddb644bc8-bwcjr                           91m          8595Mi          
osg-rm0009-group-1-v15-6ddb644bc8-g9pcm                           192m         8645Mi          
osg-rm0009-group-1-v15-6ddb644bc8-gr4jd                           200m         8760Mi          
osg-rm0009-group-1-v15-6ddb644bc8-ls9fv                           198m         8517Mi          
osg-rm0009-group-1-v15-6ddb644bc8-pwpf9                           200m         8531Mi          
osg-rm0009-group-1-v15-6ddb644bc8-wwkdl                           201m         8729Mi          
osg-rm0010-group-1-v11-d8f44b8b9-55nr9                            74m          3737Mi          
osg-rm0010-group-1-v11-d8f44b8b9-5dkb9                            79m          3384Mi          
osg-rm0010-group-1-v11-d8f44b8b9-5q5xx                            58m          3462Mi          
osg-rm0010-group-1-v11-d8f44b8b9-8pxkt                            55m          3763Mi          
osg-rm0010-group-1-v11-d8f44b8b9-g5wpt                            67m          3878Mi          
osg-rm0010-group-1-v11-d8f44b8b9-nb75n                            92m          3927Mi          
osg-rm0010-group-1-v11-d8f44b8b9-qmgrc                            48m          4070Mi          
osg-rm0010-group-1-v11-d8f44b8b9-vf6lg                            133m         4038Mi          
osg-rm0010-group-1-v11-d8f44b8b9-vm7zh                            49m          3638Mi          
osg-rm0010-group-1-v11-d8f44b8b9-zzt4q                            44m          3692Mi          
osg-rm0011-group-1-v5-5774885c54-4vq9g                            21m          2735Mi          
osg-rm0011-group-1-v5-5774885c54-6bbmf                            65m          2790Mi          
osg-rm0011-group-1-v5-5774885c54-99j4t                            39m          2809Mi          
osg-rm0011-group-1-v5-5774885c54-bjlgw                            38m          2743Mi          
osg-rm0011-group-1-v5-5774885c54-c2dzf                            115m         2747Mi          
osg-rm0011-group-1-v5-5774885c54-h6txr                            47m          2741Mi          
osg-rm0011-group-1-v5-5774885c54-lpdrq                            30m          2905Mi          
osg-rm0011-group-1-v5-5774885c54-qnrdd                            48m          2861Mi          
osg-rm0011-group-1-v5-5774885c54-sf2wq                            78m          2886Mi          
osg-rm0011-group-1-v5-5774885c54-skf5t                            44m          2857Mi          
osg-rm0011-group-1-v5-5774885c54-skwzf                            36m          2876Mi          
osg-rm0011-group-1-v5-5774885c54-zcflz                            66m          2894Mi          
osg-rm0015-group-1-v12-65c9bdcf84-8jp7m                           241m         7086Mi          
osg-rm0015-group-1-v12-65c9bdcf84-c4vkc                           220m         7354Mi          
osg-rm0015-group-1-v12-65c9bdcf84-gp6fp                           215m         6267Mi          
osg-rm0015-group-1-v12-65c9bdcf84-htpc4                           351m         6633Mi          
osg-rm0015-group-1-v12-65c9bdcf84-rnrbs                           331m         6975Mi          
osg-rm0015-group-1-v12-65c9bdcf84-tpjpt                           217m         7322Mi          
osg-rm0015-group-1-v12-65c9bdcf84-vqqqj                           334m         7140Mi          
osg-rm0015-group-1-v12-65c9bdcf84-x2qqc                           130m         6004Mi          
osg-rm0016-group-1-v13-f7b98f6ff-29n87                            243m         4000Mi          
osg-rm0016-group-1-v13-f7b98f6ff-7f5qm                            165m         4283Mi          
osg-rm0016-group-1-v13-f7b98f6ff-7m6r2                            204m         3981Mi          
osg-rm0016-group-1-v13-f7b98f6ff-jbpc7                            123m         3954Mi          
osg-rm0016-group-1-v13-f7b98f6ff-kzzkc                            187m         4017Mi          
osg-rm0016-group-1-v13-f7b98f6ff-l7p9k                            140m         3878Mi          
osg-rm0018-group-1-v6-6c5d48d8fc-c4ckl                            138m         2029Mi          
osg-rm0018-group-1-v6-6c5d48d8fc-v4d2j                            67m          1865Mi          
osg-rm0019-group-1-v7-ddd565766-gf9nm                             80m          3214Mi          
osg-rm0019-group-1-v7-ddd565766-hqll4                             94m          3254Mi          
osg-rm0019-group-1-v7-ddd565766-n9jn2                             110m         3457Mi          
osg-rm0019-group-1-v7-ddd565766-thv8b                             77m          3239Mi          
osg-rm0019-group-1-v7-ddd565766-xtrsp                             166m         3170Mi          
osg-rm0099-group-1-v10-56d8b8d74c-2vkgh                           50m          2117Mi          
osg-rm0099-group-1-v10-56d8b8d74c-5mmqg                           81m          2162Mi          
osg-rm0099-group-1-v10-56d8b8d74c-g2c87                           82m          2119Mi          
osg-rm0099-group-1-v10-56d8b8d74c-lbksx                           56m          2168Mi          
osg-rm0099-group-1-v10-56d8b8d74c-rrxzj                           47m          2181Mi          
osg-rm0099-group-1-v10-56d8b8d74c-sd2zt                           180m         2149Mi          
