NAME                                                             CPU(cores)   MEMORY(bytes)   
emss-bia-balance-front-group-1-v10-fbb7d5b46-6h842               77m          3424Mi          
emss-bia-balance-front-group-1-v10-fbb7d5b46-7gspj               73m          3422Mi          
emss-bia-balance-front-group-1-v10-fbb7d5b46-9fnkq               161m         3422Mi          
emss-bia-balance-front-group-1-v10-fbb7d5b46-b69js               78m          3414Mi          
emss-bia-balance-front-group-1-v10-fbb7d5b46-b85zm               73m          3418Mi          
emss-bia-balance-front-group-1-v10-fbb7d5b46-bfz6r               79m          3428Mi          
emss-bia-balance-front-group-1-v10-fbb7d5b46-bjzss               180m         3378Mi          
emss-bia-balance-front-group-1-v10-fbb7d5b46-c6qk9               78m          3424Mi          
emss-bia-balance-front-group-1-v10-fbb7d5b46-dd68b               80m          3423Mi          
emss-bia-balance-front-group-1-v10-fbb7d5b46-fdwl4               126m         3420Mi          
emss-bia-balance-front-group-1-v10-fbb7d5b46-ggdh4               139m         3419Mi          
emss-bia-balance-front-group-1-v10-fbb7d5b46-ggxb5               70m          3346Mi          
emss-bia-balance-front-group-1-v10-fbb7d5b46-gqnsp               78m          3341Mi          
emss-bia-balance-front-group-1-v10-fbb7d5b46-jmds8               77m          3416Mi          
emss-bia-balance-front-group-1-v10-fbb7d5b46-knlln               72m          3423Mi          
emss-bia-balance-front-group-1-v10-fbb7d5b46-mnwr5               73m          3417Mi          
emss-bia-balance-front-group-1-v10-fbb7d5b46-mtf49               72m          3418Mi          
emss-bia-balance-front-group-1-v10-fbb7d5b46-mtj4j               129m         3423Mi          
emss-bia-balance-front-group-1-v10-fbb7d5b46-n2mgw               75m          3423Mi          
emss-bia-balance-front-group-1-v10-fbb7d5b46-n4mpx               85m          3431Mi          
emss-bia-balance-front-group-1-v10-fbb7d5b46-nflfn               79m          3419Mi          
emss-bia-balance-front-group-1-v10-fbb7d5b46-pvj2b               71m          3430Mi          
emss-bia-balance-front-group-1-v10-fbb7d5b46-q8qcb               180m         3425Mi          
emss-bia-balance-front-group-1-v10-fbb7d5b46-qt5fp               71m          3429Mi          
emss-bia-balance-front-group-1-v10-fbb7d5b46-r2qq7               75m          3415Mi          
emss-bia-balance-front-group-1-v10-fbb7d5b46-rr66b               141m         3421Mi          
emss-bia-balance-front-group-1-v10-fbb7d5b46-sdh9j               144m         3440Mi          
emss-bia-balance-front-group-1-v10-fbb7d5b46-sk7lc               71m          3422Mi          
