NAME                                                            CPU(cores)   MEMORY(bytes)   
emss-csa-acctmanager-front-group-1-v11-5bb6f6d79b-5k2m6         90m          3371Mi          
emss-csa-acctmanager-front-group-1-v11-5bb6f6d79b-lggd9         68m          3373Mi          
emss-csa-acctmanager-front-group-1-v11-5bb6f6d79b-phzhc         72m          3369Mi          
emss-csa-acctmanager-front-group-1-v11-5bb6f6d79b-tstqc         76m          3372Mi          
emss-csa-bea-front-group-1-v8-8659d94b84-4n89j                  60m          2659Mi          
emss-csa-bea-front-group-1-v8-8659d94b84-6knnn                  66m          2695Mi          
emss-csa-bea-front-group-1-v8-8659d94b84-wfznd                  52m          2630Mi          
emss-csa-bea-front-group-1-v8-8659d94b84-x9k2b                  45m          2731Mi          
emss-csa-channel-front-group-1-v12-88fc79c77-4vgsg              47m          3077Mi          
emss-csa-channel-front-group-1-v12-88fc79c77-hhd47              59m          3094Mi          
emss-csa-channel-front-group-1-v12-88fc79c77-hm69x              59m          3077Mi          
emss-csa-channel-front-group-1-v12-88fc79c77-srx9k              54m          3098Mi          
emss-csa-connect-front-group-1-v10-6b5cf8bc5d-28gxq             54m          3121Mi          
emss-csa-connect-front-group-1-v10-6b5cf8bc5d-546gv             46m          3119Mi          
emss-csa-connect-front-group-1-v10-6b5cf8bc5d-6srcb             64m          3099Mi          
emss-csa-connect-front-group-1-v10-6b5cf8bc5d-frsqj             50m          3115Mi          
emss-csa-connect-front-group-1-v10-6b5cf8bc5d-g2jrd             57m          3116Mi          
emss-csa-connect-front-group-1-v10-6b5cf8bc5d-mv4qc             57m          3131Mi          
emss-csa-intelligent-front-group-1-v5-666b8764bf-9vnqv          49m          2455Mi          
emss-csa-intelligent-front-group-1-v5-666b8764bf-fr5pk          39m          2471Mi          
emss-csa-intelligent-front-group-1-v5-666b8764bf-gfkjl          49m          2535Mi          
emss-csa-intelligent-front-group-1-v5-666b8764bf-zbhqn          31m          2427Mi          
emss-csa-interact-front-group-1-v19-765bd855c8-5fkzf            46m          3102Mi          
emss-csa-interact-front-group-1-v19-765bd855c8-7stx7            36m          3118Mi          
emss-csa-interact-front-group-1-v19-765bd855c8-8z4jv            37m          3140Mi          
emss-csa-interact-front-group-1-v19-765bd855c8-dglcn            32m          3129Mi          
emss-csa-interact-front-group-1-v19-765bd855c8-hls9j            39m          3108Mi          
emss-csa-interact-front-group-1-v19-765bd855c8-jcr4g            37m          3089Mi          
emss-csa-interact-front-group-1-v19-765bd855c8-nvpnm            34m          3104Mi          
